date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:38:49	81/81	---MCZ	200	added ('OK')	text/plain	etag:W/%227a2c4bd68d2e592e405db1810da02a46%22	https://bossran.net/robots.txt		(from )
22:38:49	134033/134033	---MCZ	200	added ('OK')	text/html	etag:W/%223d9a71cf7ffd1f2673af0daba1144498%22	https://bossran.net/	D:/BossranWeb/BossranWeb2/bossran.net/index.html	(from )
22:38:49	2080/2080	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Nov%202023%2006:53:49%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=48,h=48,fit=crop,f=png/mk38v531oVFjxPDp/bossranpng-A85Z4ve0v0H06xL0.png	D:/BossranWeb/BossranWeb2/assets.zyrosite.com/cdn-cgi/image/format=auto,w=48,h=48,fit=crop,f=png/mk38v531oVFjxPDp/bossranpng-A85Z4ve0v0H06xL0.png	(from https://bossran.net/)
22:38:50	206397/206397	---MCZ	200	added ('OK')	text/css	etag:W/%225ccc17aff1dab18399531ce4a367aa82%22	https://bossran.net/_astro-1710396259894/_slug_.Bs3ynK1O.css	D:/BossranWeb/BossranWeb2/bossran.net/_astro-1710396259894/_slug_.Bs3ynK1O.css	(from https://bossran.net/)
22:38:50	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e73092-1b7c%22	https://bossran.net/t	D:/BossranWeb/BossranWeb2/bossran.net/t	(from https://bossran.net/)
22:38:51	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Mar%202024%2014:38:51%20GMT	https://bossran.net/%22https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/playlists/1714314678&color=%23ff5500&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=false\%22></iframe><div	D:/BossranWeb/BossranWeb2/bossran.net/_https_/w.soundcloud.com/player/index3e96.html	(from https://bossran.net/)
22:38:51	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e73092-1b7c%22	https://bossran.net/%22https://soundcloud.com/joshua-bossran/%22	D:/BossranWeb/BossranWeb2/bossran.net/_https_/soundcloud.com/joshua-bossran/_	(from https://bossran.net/)
22:38:51	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e73092-1b7c%22	https://bossran.net/%22https://soundcloud.com/joshua-bossran/sets/bossran-soundtrack/%22	D:/BossranWeb/BossranWeb2/bossran.net/_https_/soundcloud.com/joshua-bossran/sets/bossran-soundtrack/_	(from https://bossran.net/)
22:38:51	4971/4971	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Oct%202023%2016:29:46%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=138,fit=crop,q=95/mk38v531oVFjxPDp/d4rnnlq-5f60e539-0720-46ae-affb-3fcff846e89e-AoPZpgRwGjha4yWO.png	D:/BossranWeb/BossranWeb2/assets.zyrosite.com/cdn-cgi/image/format=auto,w=138,fit=crop,q=95/mk38v531oVFjxPDp/d4rnnlq-5f60e539-0720-46ae-affb-3fcff846e89e-AoPZpgRwGjha4yWO.png	(from https://bossran.net/)
22:38:52	119771/119771	---MCZ	200	added ('OK')	text/html	etag:W/%22a16e705f1db485ac53c186f5a48c7ecc%22	https://bossran.net/download	D:/BossranWeb/BossranWeb2/bossran.net/download.html	(from https://bossran.net/)
22:38:52	115580/115580	---MCZ	200	added ('OK')	text/html	etag:W/%22cd188a0ad73f3b1aaacb331ff7be4aa8%22	https://bossran.net/manualpatch	D:/BossranWeb/BossranWeb2/bossran.net/manualpatch.html	(from https://bossran.net/)
22:38:52	139241/139241	---MCZ	200	added ('OK')	text/html	etag:W/%221c5657fbd2ee4d6e03e40401f96a112b%22	https://bossran.net/top-up	D:/BossranWeb/BossranWeb2/bossran.net/top-up.html	(from https://bossran.net/)
22:38:52	86566/86566	---MCZ	200	added ('OK')	text/html	etag:W/%224ad326f04513795ccb2b68ec3188fb6b%22	https://bossran.net/community	D:/BossranWeb/BossranWeb2/bossran.net/community.html	(from https://bossran.net/)
22:38:53	149214/149214	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Oct%202023%2015:22:19%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=1920,fit=crop/mk38v531oVFjxPDp/bg_head-YKb1ODkpRzTRV725.jpg	D:/BossranWeb/BossranWeb2/assets.zyrosite.com/cdn-cgi/image/format=auto,w=1920,fit=crop/mk38v531oVFjxPDp/bg_head-YKb1ODkpRzTRV725.jpg	(from https://bossran.net/)
22:38:53	11199/11199	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Sep%202023%2009:36:54%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=297,h=143,fit=crop/mk38v531oVFjxPDp/bren2-Yg2Lj50nRJTg5v4V.png	D:/BossranWeb/BossranWeb2/assets.zyrosite.com/cdn-cgi/image/format=auto,w=297,h=143,fit=crop/mk38v531oVFjxPDp/bren2-Yg2Lj50nRJTg5v4V.png	(from https://bossran.net/)
22:38:53	2839/2839	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Sep%202023%2009:36:54%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=85,h=40,fit=crop/mk38v531oVFjxPDp/bren2-Yg2Lj50nRJTg5v4V.png	D:/BossranWeb/BossranWeb2/assets.zyrosite.com/cdn-cgi/image/format=auto,w=85,h=40,fit=crop/mk38v531oVFjxPDp/bren2-Yg2Lj50nRJTg5v4V.png	(from https://bossran.net/)
22:38:54	115143/115143	---MCZ	200	added ('OK')	text/html	etag:W/%228e722be6135d003ed2ca6448255255fb%22	https://bossran.net/infoen2	D:/BossranWeb/BossranWeb2/bossran.net/infoen2.html	(from https://bossran.net/)
22:38:54	71088/71088	---MCZ	200	added ('OK')	text/html	etag:W/%22464d7bd193bc9c9c030dde9454340fc6%22	https://bossran.net/infoen1	D:/BossranWeb/BossranWeb2/bossran.net/infoen1.html	(from https://bossran.net/)
22:38:54	11138/11138	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Sep%202023%2009:36:53%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=297,h=143,fit=crop/mk38v531oVFjxPDp/bren1-m6LPZrNne1UpaQrP.png	D:/BossranWeb/BossranWeb2/assets.zyrosite.com/cdn-cgi/image/format=auto,w=297,h=143,fit=crop/mk38v531oVFjxPDp/bren1-m6LPZrNne1UpaQrP.png	(from https://bossran.net/)
22:38:54	2338/2338	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Sep%202023%2009:36:53%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=70,h=33,fit=crop/mk38v531oVFjxPDp/bren1-m6LPZrNne1UpaQrP.png	D:/BossranWeb/BossranWeb2/assets.zyrosite.com/cdn-cgi/image/format=auto,w=70,h=33,fit=crop/mk38v531oVFjxPDp/bren1-m6LPZrNne1UpaQrP.png	(from https://bossran.net/)
22:38:55	80030/80030	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Sep%202023%2011:15:13%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=628,h=628,fit=crop/mk38v531oVFjxPDp/3030242000_aliza_-water-_detail_l-A852e4GyNrS3PqJk.png	D:/BossranWeb/BossranWeb2/assets.zyrosite.com/cdn-cgi/image/format=auto,w=628,h=628,fit=crop/mk38v531oVFjxPDp/3030242000_aliza_-water-_detail_l-A852e4GyNrS3PqJk.png	(from https://bossran.net/)
